year,quarter,transaction_category,transaction_count,transaction_amount
2020,Q4,Others,9556404,5323095366.309718
2020,Q3,Peer-to-peer payments,916790263,3287051873253.504
2020,Q3,Merchant payments,672019839,405291207894.2984
2020,Q3,Recharge & bill payments,436172619,204262355709.72183
2020,Q3,Financial Services,2531978,2673063432.9600067
2020,Q3,Others,5541374,2789907563.6502213
2018,Q2,Recharge & bill payments,92033715,24351225616.36898
2018,Q2,Peer-to-peer payments,74558816,264767671095.31842
2018,Q2,Merchant payments,10613941,9052859939.339659
2018,Q2,Financial Services,5186569,1176991419.239996
2018,Q2,Others,4973199,5027454207.140578
2018,Q3,Peer-to-peer payments,202021587,425967421714.0399
2018,Q3,Recharge & bill payments,102290514,31364311860.394596
2018,Q3,Merchant payments,25175938,12433150984.830223
2018,Q3,Financial Services,6218596,891447809.4200314
2018,Q3,Others,5594554,4449556277.54975
2018,Q4,Peer-to-peer payments,200235002,594995709377.7327
2018,Q4,Recharge & bill payments,131917248,39578607327.024284
2018,Q4,Merchant payments,71498510,30497289208.339787
2018,Q4,Financial Services,5216165,868584631.5900131
2018,Q4,Others,8246415,5802659774.449921
2018,Q1,Recharge & bill payments,72550406,14472713558.652578
2018,Q1,Peer-to-peer payments,46982705,147245883542.77402
2018,Q1,Merchant payments,5368669,4656678915.140091
2018,Q1,Financial Services,3762820,815853105.1000277
2018,Q1,Others,5761576,4643217301.269438
2019,Q1,Peer-to-peer payments,404841331,887893108631.5128
2019,Q1,Recharge & bill payments,180504739,55473071028.87885
2019,Q1,Merchant payments,110496541,40575915112.522
2019,Q1,Financial Services,4627353,603852042.0000324
2019,Q1,Others,8526177,5484252454.8204155
2019,Q4,Peer-to-peer payments,703497002,1963952535223.0903
2019,Q4,Merchant payments,456578271,174239646473.03162
2019,Q4,Recharge & bill payments,285310032,116344996244.26738
2019,Q4,Financial Services,2476840,551204225.4200497
2019,Q4,Others,12583379,4811822509.649999
2019,Q3,Peer-to-peer payments,461911865,1440512511470.7004
2019,Q3,Merchant payments,376320628,123209398484.44376
2019,Q3,Recharge & bill payments,240103872,101520929811.06812
2019,Q3,Financial Services,2870292,617120839.9299941
2019,Q3,Others,13804992,6705143103.510092
2019,Q2,Peer-to-peer payments,384711008,1196425281586.9927
2019,Q2,Recharge & bill payments,209898072,76865848586.98372
2019,Q2,Merchant payments,206467182,73415840739.88434
2019,Q2,Financial Services,2650384,545329308.0899862
2019,Q2,Others,11656557,6969423863.830339
