year,quarter,state,registeredusers,appopens
2024,Q3,Punjab,10978782,719085996
2024,Q3,Assam,10098778,855216106
2024,Q3,Jharkhand,11771265,1330121440
2024,Q3,Odisha,17966648,1596145813
2024,Q3,Bihar,31899315,692875087
2024,Q3,Kerala,13271613,127705188
2024,Q3,Karnataka,44548391,2731726058
2024,Q3,Chandigarh,700398,3757821
2024,Q3,Telangana,30776242,1397303246
2024,Q3,Himachal Pradesh,2953068,277032020
2024,Q3,West Bengal,33612828,709864323
2024,Q3,Gujarat,29082108,2873083540
2024,Q3,Sikkim,312311,18246210
2024,Q3,Nagaland,446969,73710120
2024,Q3,Mizoram,224952,109786827
2024,Q3,Chhattisgarh,10290502,1469220234
2024,Q3,Jammu & Kashmir,4161840,376570012
2024,Q3,Goa,1114034,49958844
2024,Q3,Arunachal Pradesh,687168,210856966
2024,Q3,Delhi,18444617,111680825
2024,Q3,Uttarakhand,5423770,414813742
2023,Q1,Puducherry,543819,3498429
2023,Q1,Tamil Nadu,26270663,989061650
2023,Q1,Uttar Pradesh,47806049,1401343916
2023,Q1,Madhya Pradesh,24002818,2588256407
2023,Q1,Andhra Pradesh,29065863,1442038420
2023,Q1,Tripura,710884,29736641
2023,Q1,Lakshadweep,7267,43821
2023,Q1,Manipur,498337,29419074
2023,Q1,Maharashtra,58470784,3144152925
2023,Q1,Dadra & Nagar Haveli & Daman & Diu,524617,4471284
2023,Q1,Meghalaya,308324,44686919
2023,Q1,Andaman & Nicobar Islands,92484,11012664
2023,Q1,Haryana,15688161,264946266
2023,Q1,Rajasthan,28523031,3711332541
2023,Q1,Ladakh,110991,14522495
2023,Q1,Punjab,8837408,177418342
2023,Q1,Assam,5499650,590176321
2023,Q1,Jharkhand,8609107,585808867
2023,Q1,Odisha,14787083,929487633
2023,Q1,Bihar,22796011,455886560
2023,Q1,Kerala,10822723,116395880
2023,Q1,Karnataka,37681426,2498025288
2023,Q1,Chandigarh,654522,2001065
2023,Q1,Telangana,26804259,1305656447
2023,Q1,Himachal Pradesh,2594668,111702044
2023,Q1,West Bengal,26732895,321102681
2023,Q1,Gujarat,23436230,918468944
2023,Q1,Sikkim,252440,18927227
2023,Q1,Nagaland,335936,35227154
2023,Q1,Mizoram,138751,24403694
2023,Q1,Chhattisgarh,7159660,678798431
2023,Q1,Jammu & Kashmir,1873039,134828711
2023,Q1,Goa,892185,22829931
2023,Q1,Arunachal Pradesh,408273,88997458
2023,Q1,Delhi,16480011,51049789
2023,Q1,Uttarakhand,4464369,181738693
2023,Q2,Puducherry,564431,3817041
2023,Q2,Tamil Nadu,27317599,991611987
2023,Q2,Uttar Pradesh,49829833,1731600947
2023,Q2,Madhya Pradesh,25042930,2945628722
2023,Q2,Andhra Pradesh,30240061,1427952434
2023,Q2,Tripura,743024,30819207
2023,Q2,Lakshadweep,7585,90501
2023,Q2,Manipur,519799,14076037
2023,Q2,Maharashtra,60766850,3363859330
2023,Q2,Dadra & Nagar Haveli & Daman & Diu,546364,4086025
2023,Q2,Meghalaya,322382,47337234
2023,Q2,Andaman & Nicobar Islands,96329,14738676
2023,Q2,Haryana,16314236,298037706
2023,Q2,Rajasthan,29745609,4033000288
2023,Q2,Ladakh,115736,26285520
2023,Q2,Punjab,9197055,218492661
2023,Q2,Assam,5749682,657069673
2023,Q2,Jharkhand,8980709,657119942
2023,Q2,Odisha,15420061,918449931
2023,Q2,Bihar,23781971,556071386
2023,Q2,Kerala,11237341,121310794
2023,Q2,Karnataka,39122314,2521576765
2023,Q2,Chandigarh,678662,1978988
2023,Q2,Telangana,27814633,1339967792
2023,Q2,Himachal Pradesh,2706470,136774775
2023,Q2,West Bengal,27827662,350862668
2023,Q2,Gujarat,24396768,1057626015
2023,Q2,Sikkim,262728,28470875
2023,Q2,Nagaland,351024,33612080
2023,Q2,Mizoram,145061,21868647
2023,Q2,Chhattisgarh,7469508,749111705
2023,Q2,Jammu & Kashmir,1953132,209249141
2023,Q2,Goa,926020,20219644
2023,Q2,Arunachal Pradesh,426410,106089520
2023,Q2,Delhi,17103089,51415039
2023,Q2,Uttarakhand,4645322,240804293
2023,Q4,Puducherry,607838,32182677
2023,Q4,Tamil Nadu,29452801,1831285792
2023,Q4,Uttar Pradesh,53799813,3620813944
2023,Q4,Madhya Pradesh,27078072,1780548760
2023,Q4,Andhra Pradesh,32658698,1310002959
2023,Q4,Tripura,806344,43591962
2023,Q4,Lakshadweep,8225,924554
2023,Q4,Manipur,564130,25551545
2023,Q4,Maharashtra,65422120,3694003155
2023,Q4,Dadra & Nagar Haveli & Daman & Diu,590760,36579378
2023,Q4,Meghalaya,349330,30357626
2023,Q4,Andaman & Nicobar Islands,103978,9845960
2023,Q4,Haryana,17556642,904482321
2023,Q4,Rajasthan,32157348,1905645600
2023,Q4,Ladakh,124828,7108123
2023,Q4,Punjab,9898002,605806581
2023,Q4,Assam,6234780,558041955
2023,Q4,Jharkhand,9707336,658553048
2023,Q4,Odisha,16680992,701305081
2023,Q4,Bihar,25695856,1822737403
2023,Q4,Kerala,12084974,747303653
2023,Q4,Karnataka,42031396,2565539566
2023,Q4,Chandigarh,727594,35719991
2023,Q4,Telangana,29902636,1520428750
2023,Q4,Himachal Pradesh,2924952,163694473
2023,Q4,West Bengal,30064546,1467442959
2023,Q4,Gujarat,26312655,1950081065
2023,Q4,Sikkim,282575,15838198
2023,Q4,Nagaland,381162,20169002
2023,Q4,Mizoram,157627,9424810
2023,Q4,Chhattisgarh,8057016,545124233
2023,Q4,Jammu & Kashmir,2108166,186302862
2023,Q4,Goa,995923,64868903
2023,Q4,Arunachal Pradesh,462088,38873546
2023,Q4,Delhi,18363626,738806624
2023,Q4,Uttarakhand,5001826,287470297
2023,Q3,Puducherry,586550,4653693
2023,Q3,Tamil Nadu,28405436,1117719858
2023,Q3,Uttar Pradesh,51870932,2143192720
2023,Q3,Madhya Pradesh,26109033,3495164168
2023,Q3,Andhra Pradesh,31493897,1157440497
2023,Q3,Tripura,774678,49942954
2023,Q3,Lakshadweep,7912,294406
2023,Q3,Manipur,541572,20694295
2023,Q3,Maharashtra,63150997,3152984827
2023,Q3,Dadra & Nagar Haveli & Daman & Diu,569035,4449513
2023,Q3,Meghalaya,336282,75055865
2023,Q3,Andaman & Nicobar Islands,100255,20545079
2023,Q3,Haryana,16956489,327497074
2023,Q3,Rajasthan,30997182,4359306863
2023,Q3,Ladakh,120435,42636030
2023,Q3,Punjab,9555997,337107656
2023,Q3,Assam,5998586,962849913
2023,Q3,Jharkhand,9360730,806517236
2023,Q3,Odisha,16064459,1002230051
2023,Q3,Bihar,24776510,623923391
2023,Q3,Kerala,11669143,145044427
2023,Q3,Karnataka,40634390,2284389284
2023,Q3,Chandigarh,704144,1924922
2023,Q3,Telangana,28896668,993742805
2023,Q3,Himachal Pradesh,2816046,189307777
2023,Q3,West Bengal,28966414,473450373
2023,Q3,Gujarat,25383429,1679035143
2023,Q3,Sikkim,272829,34906306
2023,Q3,Nagaland,366203,51985056
2023,Q3,Mizoram,151378,29019443
2023,Q3,Chhattisgarh,7779977,951586898
2023,Q3,Jammu & Kashmir,2031447,283204829
2023,Q3,Goa,961831,24017714
2023,Q3,Arunachal Pradesh,444789,112236680
2023,Q3,Delhi,17747167,49593289
2023,Q3,Uttarakhand,4829992,217340168
2019,Q2,Puducherry,156458,661932
2019,Q2,Tamil Nadu,7429609,33658961
2019,Q2,Uttar Pradesh,14316349,78394040
2019,Q2,Madhya Pradesh,7301172,50642151
2019,Q2,Andhra Pradesh,9389003,81375251
2019,Q2,Tripura,217644,953627
2019,Q2,Lakshadweep,1747,4580
2019,Q2,Manipur,117747,464829
2019,Q2,Maharashtra,18776975,109967705
2019,Q2,Dadra & Nagar Haveli & Daman & Diu,158580,860686
2019,Q2,Meghalaya,74746,395764
2019,Q2,Andaman & Nicobar Islands,21731,52640
2019,Q2,Haryana,5178030,31929195
2019,Q2,Rajasthan,8783935,62787336
2019,Q2,Ladakh,35516,157317
2019,Q2,Punjab,2600112,10928094
2019,Q2,Assam,1500128,7350326
2019,Q2,Jharkhand,2604854,14929066
2019,Q2,Odisha,4845359,33955545
2019,Q2,Bihar,6589759,39607022
2019,Q2,Kerala,2550167,8673220
2019,Q2,Karnataka,11968087,113024811
2019,Q2,Chandigarh,240439,1220176
2019,Q2,Telangana,9046007,80842302
2019,Q2,Himachal Pradesh,772603,3321711
2019,Q2,West Bengal,8612795,49514201
