year,quarter,state,count,amount
2024,Q1,Uttarakhand,123234577,150276835263.0
2024,Q2,Puducherry,14564895,18242009736.0
2024,Q2,Tamil Nadu,705083686,985151149866.0
2024,Q2,Uttar Pradesh,2135538658,2704223360067.0
2024,Q2,Madhya Pradesh,1435472057,1779679946627.0
2024,Q2,Andhra Pradesh,1930122300,3181922420088.0
2024,Q2,Tripura,12787547,18137431068.0
2024,Q2,Lakshadweep,109085,146212841.0
2024,Q2,Manipur,5063324,10898000793.0
2024,Q2,Maharashtra,3063494802,3573189333587.0
2024,Q2,Dadra & Nagar Haveli & Daman & Diu,23393115,20328992711.0
2024,Q2,Meghalaya,11089661,16794614094.0
2024,Q2,Andaman & Nicobar Islands,4653224,7295780330.0
2024,Q2,Haryana,738553925,905444595600.0
2024,Q2,Rajasthan,1818855106,2497094537924.0
2024,Q2,Ladakh,5327359,10125723348.0
2024,Q2,Punjab,171946137,244435036984.0
2024,Q2,Assam,271327087,345308670210.0
2024,Q2,Jharkhand,499685871,620115922491.0
2024,Q2,Odisha,944027735,1164839284001.0
2024,Q2,Bihar,1313888385,1886846564676.0
2024,Q2,Kerala,194872467,242003822595.0
2024,Q2,Karnataka,3042012848,3785034703438.0
2024,Q2,Chandigarh,15940973,17556903812.0
2024,Q2,Telangana,2417264357,3461542433312.0
2024,Q2,Himachal Pradesh,52583801,59849740702.0
2024,Q2,West Bengal,980480707,1547343815564.0
2024,Q2,Gujarat,690395153,910625046933.0
2024,Q2,Sikkim,7188322,11296518155.0
2024,Q2,Nagaland,5598700,11012913096.0
2024,Q2,Mizoram,1977079,3798477640.0
2024,Q2,Chhattisgarh,412047705,496313432419.0
2024,Q2,Jammu & Kashmir,108179014,129061756911.0
2024,Q2,Goa,37000806,47454830712.0
2024,Q2,Arunachal Pradesh,19478372,29706351630.0
2024,Q2,Delhi,777540400,896917676180.0
2024,Q2,Uttarakhand,158564982,180612915790.0
2023,Q1,Puducherry,10144295,14222388506.0
2023,Q1,Tamil Nadu,461212387,715583673518.0
2023,Q1,Uttar Pradesh,1002557722,1636936265372.0
2023,Q1,Madhya Pradesh,734566970,1062026599901.0
2023,Q1,Andhra Pradesh,1145532464,2249051316530.0
2023,Q1,Tripura,7118687,13288282891.0
2023,Q1,Lakshadweep,29520,85321961.0
2023,Q1,Manipur,3258383,8585564092.0
2023,Q1,Maharashtra,1848268499,2362285906059.0
2023,Q1,Dadra & Nagar Haveli & Daman & Diu,11803985,12614091200.0
2023,Q1,Meghalaya,4164705,10084840615.0
2023,Q1,Andaman & Nicobar Islands,2276392,4461528587.0
2023,Q1,Haryana,381318464,591150623736.0
2023,Q1,Rajasthan,921096686,1554913375850.0
2023,Q1,Ladakh,1567246,3849021298.0
2023,Q1,Punjab,96910821,175508676860.0
2023,Q1,Assam,113760638,212354167087.0
2023,Q1,Jharkhand,240458103,367371336021.0
2023,Q1,Odisha,482896088,753968977663.0
2023,Q1,Bihar,547831195,1039276959944.0
2023,Q1,Kerala,147621565,193637089677.0
2023,Q1,Karnataka,1844697189,2470227226317.0
2023,Q1,Chandigarh,9815605,12824894394.0
2023,Q1,Telangana,1440331458,2372581734284.0
2023,Q1,Himachal Pradesh,27301726,37740947734.0
2023,Q1,West Bengal,459278344,896883182555.0
2023,Q1,Gujarat,362511326,597826188806.0
2023,Q1,Sikkim,3396128,6762568022.0
2023,Q1,Nagaland,2685570,7814397854.0
2023,Q1,Mizoram,1052595,2955622739.0
2023,Q1,Chhattisgarh,214748957,301088936459.0
2023,Q1,Jammu & Kashmir,38927244,55921747581.0
2023,Q1,Goa,24195070,35096965775.0
2023,Q1,Arunachal Pradesh,8042825,16394578454.0
2023,Q1,Delhi,409753103,611403109580.0
2023,Q1,Uttarakhand,79385675,107179907585.0
2023,Q3,Puducherry,12379641,16444491839.0
2023,Q3,Tamil Nadu,556085008,833105264698.0
2023,Q3,Uttar Pradesh,1354622466,1861748362006.0
2023,Q3,Madhya Pradesh,978812593,1237821998249.0
2023,Q3,Andhra Pradesh,1475164403,2653414098098.0
2023,Q3,Tripura,9108762,15249223330.0
2023,Q3,Lakshadweep,43757,94527061.0
2023,Q3,Manipur,865478,3608286601.0
2023,Q3,Maharashtra,2290678587,2752172184241.0
2023,Q3,Dadra & Nagar Haveli & Daman & Diu,15370328,15096066463.0
2023,Q3,Meghalaya,6029842,11406633080.0
2023,Q3,Andaman & Nicobar Islands,3098376,5211596791.0
2023,Q3,Haryana,501519478,677491980740.0
2023,Q3,Rajasthan,1237232167,1800225443616.0
2023,Q3,Ladakh,3621366,8250572243.0
2023,Q3,Punjab,132161181,205225582737.0
2023,Q3,Assam,167575351,244058014402.0
2023,Q3,Jharkhand,318237426,418384424020.0
