year,quarter,state,district,registeredusers,appopens
2022,Q1,West Bengal,Birbhum,733911,9448003
2022,Q1,West Bengal,Purba Medinipur,1155279,8760746
2022,Q1,West Bengal,Maldah,812775,11245507
2022,Q1,West Bengal,Darjiling,485846,7587920
2022,Q2,West Bengal,South Twenty Four Parganas,1655743,16517384
2022,Q2,West Bengal,Purba Bardhaman,1016127,11036337
2022,Q2,West Bengal,Uttar Dinajpur,518418,12844550
2022,Q2,West Bengal,Kalimpong,48984,5104547
2022,Q2,West Bengal,Murshidabad,1608797,13619399
2022,Q2,West Bengal,Paschim Medinipur,1105840,17329312
2022,Q2,West Bengal,Dakshin Dinajpur,368917,5446922
2022,Q2,West Bengal,Jalpaiguri,339737,13603473
2022,Q2,West Bengal,Purulia,565760,17580111
2022,Q2,West Bengal,North Twenty Four Parganas,3397791,15652193
2022,Q2,West Bengal,Bankura,833244,18121072
2022,Q2,West Bengal,Jhargram,161057,6650325
2022,Q2,West Bengal,Howrah,1285159,4195094
2022,Q2,West Bengal,Hooghly,1429378,6872484
2022,Q2,West Bengal,Kolkata,2461795,7723614
2022,Q2,West Bengal,Koch Bihar,486573,14077846
2022,Q2,West Bengal,Alipurduar,236034,9841194
2022,Q2,West Bengal,Paschim Bardhaman,1008380,6962947
2022,Q2,West Bengal,Nadia,1229358,8714918
2022,Q2,West Bengal,Birbhum,775182,10117026
2022,Q2,West Bengal,Purba Medinipur,1219530,8722235
2022,Q2,West Bengal,Maldah,860176,11082245
2022,Q2,West Bengal,Darjiling,512408,8461141
2022,Q3,West Bengal,South Twenty Four Parganas,1745822,15038778
2022,Q3,West Bengal,Purba Bardhaman,1070637,11905873
2022,Q3,West Bengal,Uttar Dinajpur,548552,12801052
2022,Q3,West Bengal,Kalimpong,51490,5252399
2022,Q3,West Bengal,Murshidabad,1696729,14345841
2022,Q3,West Bengal,Paschim Medinipur,1165076,17584516
2022,Q3,West Bengal,Dakshin Dinajpur,389892,6814372
2022,Q3,West Bengal,Jalpaiguri,358402,14583593
2022,Q3,West Bengal,Purulia,595970,17748718
2022,Q3,West Bengal,North Twenty Four Parganas,3578500,15071624
