year,quarter,state,district,registeredusers
2021,Q2,West Bengal,Purba Medinipur,946277
2021,Q2,West Bengal,Paschim Medinipur,856640
2021,Q2,West Bengal,Paschim Bardhaman,789026
2021,Q1,West Bengal,North Twenty Four Parganas,2491076
2021,Q1,West Bengal,Kolkata,1823074
2021,Q1,West Bengal,South Twenty Four Parganas,1202229
2021,Q1,West Bengal,Murshidabad,1166975
2021,Q1,West Bengal,Hooghly,1046242
2021,Q1,West Bengal,Howrah,940133
2021,Q1,West Bengal,Nadia,893107
2021,Q1,West Bengal,Purba Medinipur,884605
2021,Q1,West Bengal,Paschim Medinipur,800530
2021,Q1,West Bengal,Paschim Bardhaman,738540
2021,Q4,West Bengal,North Twenty Four Parganas,3043008
2021,Q4,West Bengal,Kolkata,2213659
2021,Q4,West Bengal,South Twenty Four Parganas,1477679
2021,Q4,West Bengal,Murshidabad,1435266
2021,Q4,West Bengal,Hooghly,1278850
2021,Q4,West Bengal,Howrah,1150144
2021,Q4,West Bengal,Nadia,1096767
2021,Q4,West Bengal,Purba Medinipur,1087362
2021,Q4,West Bengal,Paschim Medinipur,985745
2021,Q4,West Bengal,Purba Bardhaman,905950
2021,Q3,West Bengal,North Twenty Four Parganas,2852030
2021,Q3,West Bengal,Kolkata,2078360
2021,Q3,West Bengal,South Twenty Four Parganas,1383020
2021,Q3,West Bengal,Murshidabad,1342984
2021,Q3,West Bengal,Hooghly,1198858
2021,Q3,West Bengal,Howrah,1077467
2021,Q3,West Bengal,Nadia,1026795
2021,Q3,West Bengal,Purba Medinipur,1017925
2021,Q3,West Bengal,Paschim Medinipur,922218
2021,Q3,West Bengal,Purba Bardhaman,847622
2022,Q3,West Bengal,North Twenty Four Parganas,3578500
2022,Q3,West Bengal,Kolkata,2588380
2022,Q3,West Bengal,South Twenty Four Parganas,1745822
2022,Q3,West Bengal,Murshidabad,1696729
2022,Q3,West Bengal,Hooghly,1506412
2022,Q3,West Bengal,Howrah,1354886
2022,Q3,West Bengal,Nadia,1296764
2022,Q3,West Bengal,Purba Medinipur,1286641
2022,Q3,West Bengal,Paschim Medinipur,1165076
2022,Q3,West Bengal,Purba Bardhaman,1070637
2022,Q1,West Bengal,North Twenty Four Parganas,3224459
2022,Q1,West Bengal,Kolkata,2340343
2022,Q1,West Bengal,South Twenty Four Parganas,1569037
2022,Q1,West Bengal,Murshidabad,1524507
2022,Q1,West Bengal,Hooghly,1356282
2022,Q1,West Bengal,Howrah,1218931
2022,Q1,West Bengal,Nadia,1164783
2022,Q1,West Bengal,Purba Medinipur,1155279
2022,Q1,West Bengal,Paschim Medinipur,1048100
2022,Q1,West Bengal,Purba Bardhaman,962974
2022,Q4,West Bengal,North Twenty Four Parganas,3755017
2022,Q4,West Bengal,Kolkata,2716412
2022,Q4,West Bengal,South Twenty Four Parganas,1828512
2022,Q4,West Bengal,Murshidabad,1778470
2022,Q4,West Bengal,Hooghly,1579023
2022,Q4,West Bengal,Howrah,1422011
2022,Q4,West Bengal,Nadia,1359420
2022,Q4,West Bengal,Purba Medinipur,1346908
2022,Q4,West Bengal,Paschim Medinipur,1217113
2022,Q4,West Bengal,Purba Bardhaman,1119310
2022,Q2,West Bengal,North Twenty Four Parganas,3397791
2022,Q2,West Bengal,Kolkata,2461795
2022,Q2,West Bengal,South Twenty Four Parganas,1655743
2022,Q2,West Bengal,Murshidabad,1608797
2022,Q2,West Bengal,Hooghly,1429378
2022,Q2,West Bengal,Howrah,1285159
2022,Q2,West Bengal,Nadia,1229358
2022,Q2,West Bengal,Purba Medinipur,1219530
2022,Q2,West Bengal,Paschim Medinipur,1105840
2022,Q2,West Bengal,Purba Bardhaman,1016127
2019,Q4,West Bengal,North Twenty Four Parganas,1638605
2019,Q4,West Bengal,Kolkata,1238698
2019,Q4,West Bengal,Murshidabad,750671
2019,Q4,West Bengal,South Twenty Four Parganas,741375
2019,Q4,West Bengal,Hooghly,694972
2019,Q4,West Bengal,Howrah,597553
2019,Q4,West Bengal,Purba Medinipur,573088
2019,Q4,West Bengal,Nadia,571859
2019,Q4,West Bengal,Paschim Medinipur,520047
2019,Q4,West Bengal,Paschim Bardhaman,492425
2019,Q2,West Bengal,North Twenty Four Parganas,1312362
2019,Q2,West Bengal,Kolkata,1014406
2019,Q2,West Bengal,South Twenty Four Parganas,579599
2019,Q2,West Bengal,Hooghly,557946
