year,quarter,state,registeredusers
2020,Q1,Telangana,12306860
2020,Q1,Rajasthan,12142053
2020,Q1,West Bengal,11960822
2020,Q1,Tamil Nadu,10872368
2020,Q1,Gujarat,10259843
2020,Q1,Madhya Pradesh,10151371
2020,Q3,Maharashtra,31409513
2020,Q3,Uttar Pradesh,24838116
2020,Q3,Karnataka,20487550
2020,Q3,Andhra Pradesh,15692405
2020,Q3,Rajasthan,14969412
2020,Q3,Telangana,14590882
2020,Q3,West Bengal,14448366
2020,Q3,Tamil Nadu,13643451
2020,Q3,Madhya Pradesh,12564224
2020,Q3,Gujarat,12467847
2020,Q2,Maharashtra,28765086
2020,Q2,Uttar Pradesh,22498519
2020,Q2,Karnataka,18655366
2020,Q2,Andhra Pradesh,14319675
2020,Q2,Rajasthan,13563201
2020,Q2,Telangana,13378191
2020,Q2,West Bengal,13222022
2020,Q2,Tamil Nadu,12150786
2020,Q2,Gujarat,11392657
2020,Q2,Madhya Pradesh,11374423
2020,Q4,Maharashtra,34432631
2020,Q4,Uttar Pradesh,27249134
2020,Q4,Karnataka,22400182
2020,Q4,Andhra Pradesh,17076565
2020,Q4,Rajasthan,16329494
2020,Q4,Telangana,15927797
2020,Q4,West Bengal,15662093
2020,Q4,Tamil Nadu,15357586
2020,Q4,Madhya Pradesh,13737947
2020,Q4,Gujarat,13605203
